ensembl,symbol,status
YAL001C,TFC3,Essential
YAL003W,EFB1,Essential
YAL025C,MAK16,Essential
YAL032C,PRP45,Essential
YAL033W,POP5,Essential
YAL034C-B,YAL034C-B,Essential
YAL034W-A,MTW1,Essential
YAL038W,CDC19,Essential
YAL041W,CDC24,Essential
YAL043C,PTA1,Essential
YAR007C,RFA1,Essential
YAR008W,SEN34,Essential
YAR019C,CDC15,Essential
YBL004W,UTP20,Essential
YBL014C,RRN6,Essential
YBL018C,POP8,Essential
YBL020W,RFT1,Essential
YBL023C,MCM2,Essential
YBL026W,LSM2,Essential
YBL030C,PET9,Essential
YBL034C,STU1,Essential
YBL035C,POL12,Essential
YBL040C,ERD2,Essential
YBL041W,PRE7,Essential
YBL050W,SEC17,Essential
YBL073W,YBL073W,Essential
YBL074C,AAR2,Essential
YBL076C,ILS1,Essential
YBL077W,YBL077W,Essential
YBL084C,CDC27,Essential
YBL092W,RPL32,Essential
YBL097W,BRN1,Essential
YBL103C,RTG3,Essential
YBL105C,PKC1,Essential
YBR011C,IPP1,Essential
YBR017C,KAP104,Essential
YBR021W,FUR4,Essential
YBR029C,CDS1,Essential
YBR038W,CHS2,Essential
YBR039W,ATP3,Essential
YBR049C,REB1,Essential
YBR055C,PRP6,Essential
YBR060C,ORC2,Essential
YBR061C,TRM7,Essential
YBR070C,ALG14,Essential
YBR079C,RPG1,Essential
YBR080C,SEC18,Essential
YBR081C,SPT7,Essential
YBR082C,UBC4,Essential
YBR085W,AAC3,Essential
YBR087W,RFC5,Essential
YBR088C,POL30,Essential
YBR089W,YBR089W,Essential
YBR091C,TIM12,Essential
YBR095C,RXT2,Essential
YBR096W,YBR096W,Essential
YBR097W,VPS15,Essential
YBR102C,EXO84,Essential
YBR109C,CMD1,Essential
YBR110W,ALG1,Essential
YBR117C,TKL2,Essential
YBR118W,TEF2,Essential
YBR121C,GRS1,Essential
YBR123C,TFC1,Essential
YBR124W,YBR124W,Essential
YBR135W,CKS1,Essential
YBR136W,MEC1,Essential
YBR140C,IRA1,Essential
YBR142W,MAK5,Essential
YBR143C,SUP45,Essential
YBR152W,SPP381,Essential
YBR153W,RIB7,Essential
YBR154C,RPB5,Essential
YBR155W,CNS1,Essential
YBR160W,CDC28,Essential
YBR165W,UBS1,Essential
YBR167C,POP7,Essential
YBR189W,RPS9B,Essential
